author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;year_of_construction;object_type;house_material_type;heating_type;finish_type;living_meters;kitchen_meters;phone;district;street;house_number;underground;residential_complex
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243037/;Москва;sale;flat;15;23;3;82.8;39578400;2026;-1;Монолитно-кирпичный;-1;Без отделки, чистовая;52,1 м²;10 м²;+74951387097;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/297733877/;Москва;sale;flat;80;85;4;294.6;412440000;-1;-1;-1;-1;-1;-1;-1;+79197672046;Пресненский;Московский международный деловой центр Москва-Сити тер.;;Деловой центр;
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;2023;-1;Монолитный;-1;Чистовая, чистовая с мебелью;-1;46,2 м²;+74951347641;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;-1;-1;-1;-1;-1;65 м²;25 м²;+79856120994;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;2023;-1;Монолитный;-1;Без отделки, предчистовая;28,9 м²;-1;+74951387129;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;2008;-1;-1;-1;-1;-1;45 м²;+79197672046;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;2024;-1;Монолитно-кирпичный;-1;Без отделки;35,2 м²;25,5 м²;+74951379308;Филевский парк;Береговой проезд;2;Фили;Береговой-2
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679511/;Москва;sale;flat;11;20;4;90.71;32501393;2024;-1;-1;-1;-1;48,1 м²;8,2 м²;+79652908569;Даниловский;Автозаводская ;26;Тульская;FORST
VESPER;developer;https://www.cian.ru/sale/flat/308110877/;Москва;sale;flat;4;6;3;264.6;661500000;2027;-1;-1;-1;Чистовая с мебелью;-1;-1;+74951346294;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/308710833/;Москва;sale;flat;3;10;4;180.0;212000000;2024;-1;-1;-1;Чистовая;-1;25 м²;+79623610548;Дорогомилово;;3к1;Парк Победы;Виктори Парк Резиденсез ЖК
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;2017;-1;Монолитно-кирпичный, монолитный, кирпичный;-1;Без отделки, черновая;70,9 м²;43,8 м²;+74951387060;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;2005;-1;-1;-1;-1;60 м²;16 м²;+79660274811;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
MR Group;developer;https://www.cian.ru/sale/flat/306610279/;Москва;sale;flat;8;59;3;56.1;;2028;-1;Монолитно-кирпичный;-1;Предчистовая;36,1 м²;-1;+74951370518;Можайский;;;Давыдково;Веер ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/308015928/;Москва;sale;flat;28;37;4;177.3;215000000;2024;-1;-1;-1;-1;-1;20 м²;+79660272578;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
